OK 6ms 185.176.24.30:8880 cached
OK 6ms 185.193.29.30:8880 cached
OK 6ms 185.207.196.30:8880 cached
OK 6ms 192.0.54.30:8880 cached
OK 6ms 192.0.63.30:8880 cached
OK 6ms 192.169.220.30:8880 cached
OK 5ms 192.169.222.30:8880 cached
OK 6ms 192.169.222.40:8880 cached
OK 6ms 192.169.223.30:8880 cached
OK 105ms 194.164.59.222:443 cached
OK 6ms 194.53.53.30:8880 cached
OK 6ms 198.12.145.30:8880 cached
OK 6ms 198.71.189.30:8880 cached
OK 6ms 198.71.190.30:8880 cached
OK 6ms 198.71.191.30:8880 cached
OK 5ms 198.71.232.30:8880 cached
OK 5ms 199.181.197.40:8880 cached
OK 6ms 216.24.57.30:8880 cached
OK 6ms 216.24.57.40:8880 cached
OK 6ms 23.227.39.30:8880 cached
OK 7ms 23.227.60.30:8880 cached
OK 6ms 31.185.108.30:8880 cached
OK 6ms 31.185.108.50:8880 cached
OK 6ms 45.135.235.30:8880 cached
OK 6ms 45.40.145.30:8880 cached
OK 7ms 45.40.146.30:8880 cached
OK 6ms 45.40.146.50:8880 cached
OK 6ms 45.40.147.30:8880 cached
OK 6ms 45.40.147.40:8880 cached
OK 7ms 45.40.148.30:8880 cached
OK 7ms 45.40.149.50:8880 cached
OK 6ms 45.40.150.30:8880 cached
OK 6ms 45.40.151.30:8880 cached
OK 6ms 45.40.155.30:8880 cached
OK 6ms 50.62.174.30:8880 cached
OK 6ms 50.62.175.30:8880 cached
OK 6ms 50.62.194.30:8880 cached
OK 6ms 50.62.194.40:8880 cached
OK 7ms 50.62.195.30:8880 cached
OK 6ms 50.62.195.50:8880 cached
OK 5ms 50.62.198.50:8880 cached
OK 6ms 50.62.91.30:8880 cached
OK 6ms 50.62.91.40:8880 cached
OK 6ms 63.141.128.30:8880 cached
OK 6ms 66.235.200.30:8880 cached
OK 7ms 66.235.200.40:8880 cached
OK 6ms 72.167.230.30:8880 cached
OK 6ms 72.167.243.30:8880 cached
OK 6ms 72.167.25.30:8880 cached
OK 6ms 77.74.228.30:8880 cached
OK 6ms 8.34.70.30:8880 cached
OK 6ms 8.6.112.30:8880 cached
OK 6ms 8.6.112.50:8880 cached
OK 7ms 80.93.202.40:8880 cached
OK 6ms 89.116.161.50:8880 cached
OK 6ms 89.116.180.30:8880 cached
OK 6ms 89.116.180.40:8880 cached
OK 6ms 89.116.46.50:8880 cached
OK 7ms 92.53.188.30:8880 cached
OK 6ms 92.53.189.40:8880 cached
OK 105ms 3.112.131.211:48086 cached
OK 91ms 103.75.125.160:443 cached
OK 110ms 138.124.244.240:443
OK 106ms 151.242.160.51:443
OK 99ms 217.60.68.104:443 cached
OK 107ms 77.83.246.74:443 cached
OK 92ms 157.173.7.200:443 cached
OK 92ms 157.173.7.55:443 cached
OK 135ms 192.88.182.105:443 cached
OK 176ms 13.214.194.139:25193 cached
OK 94ms 217.60.24.61:8443 cached
OK 95ms 94.183.219.243:8443 cached
OK 106ms 13.113.18.50:36582 cached
OK 55ms 128.241.25.72:30021 cached
OK 21ms 158.69.112.254:443 cached
OK 106ms 18.179.7.11:23082 cached
OK 120ms 87.239.249.137:443 cached
OK 106ms 54.238.241.88:22536 cached
OK 3ms 66.81.247.155:2083
OK 91ms 34.178.210.187:15819
OK 153ms 154.19.187.249:20725 cached
OK 93ms 162.55.242.208:2053 cached
OK 89ms 89.125.209.18:443 cached
OK 107ms 57.180.65.248:23525 cached
OK 155ms 54.37.136.194:2053 cached
OK 121ms 95.181.162.170:444 cached
OK 106ms 52.195.209.55:39512 cached
OK 88ms 185.140.12.160:2083 cached
OK 88ms 185.140.12.160:2096 cached
OK 81ms 45.144.28.39:2083 cached
OK 81ms 45.144.28.39:2096 cached
OK 41ms support.zoom.us:80 cached
OK 119ms 91.222.237.55:2200 cached
OK 123ms 184.107.106.68:443 cached
