OK 139ms 94.183.177.105:8443 cached
OK 188ms 45.196.201.9:443 cached
OK 153ms 162.19.228.119:80 cached
OK 158ms 141.11.164.89:443 cached
OK 138ms 45.144.214.53:443 cached
OK 100ms 3.114.220.22:19645 cached
OK 124ms 2.59.162.56:443 cached
OK 148ms 194.127.179.220:443 cached
OK 159ms 2.27.13.17:443 cached
OK 187ms 45.196.201.35:443 cached
OK 187ms 45.196.201.5:443 cached
OK 187ms 45.196.201.101:443 cached
OK 61ms 198.251.78.29:2053 cached
OK 188ms 45.196.201.67:443 cached
OK 155ms 31.77.154.51:443 cached
OK 145ms 51.91.251.198:443 cached
OK 188ms 45.196.201.236:443 cached
OK 157ms 76.164.202.212:448 cached
OK 188ms 45.196.201.8:443 cached
OK 129ms 78.159.245.32:443 cached
OK 146ms 5.255.110.147:443 cached
OK 197ms 60.249.101.13:10000 cached
OK 183ms 45.196.201.103:443 cached
OK 184ms 45.196.201.216:443 cached
OK 126ms 3.39.4.109:18967 cached
OK 372ms de.themesh.site:443 cached
OK 189ms 45.196.201.84:443 cached
OK 142ms 186.190.211.188:443 cached
OK 184ms 45.196.201.104:443 cached
OK 188ms 45.196.201.86:443 cached
OK 5ms 91.193.58.201:443 cached
OK 118ms 212.237.217.7:16923 cached
OK 187ms 45.196.201.222:443 cached
OK 149ms 45.192.2.173:443 cached
OK 157ms 144.31.217.155:443
OK 5ms 45.8.211.217:443 cached
OK 184ms 45.196.201.68:443 cached
OK 125ms 45.196.201.118:443 cached
OK 188ms 45.196.201.102:443 cached
OK 50ms 67.220.73.204:16016 cached
OK 164ms 45.144.52.32:443 cached
OK 5ms 167.82.0.7:80 cached
OK 164ms 83.147.216.148:4351 cached
OK 30ms 198.23.238.35:443 cached
OK 103ms 67.220.73.204:18662 cached
OK 146ms 51.158.206.8:23576 cached
OK 184ms 45.196.201.113:443 cached
OK 142ms 193.233.174.195:27331 cached
OK 134ms 45.196.201.72:443 cached
OK 187ms 45.196.201.91:443 cached
OK 146ms 86.107.197.239:443 cached
OK 184ms 45.196.201.185:443 cached
OK 96ms 154.46.30.79:8444 cached
OK 156ms 50.7.41.142:443 cached
OK 69ms 153.75.250.171:49271 cached
OK 99ms 186.246.19.79:40443 cached
OK 189ms intense-wildcat.rooster465.autos:443 cached
OK 129ms 45.196.201.142:443 cached
OK 168ms 95.85.229.112:443 cached
OK 162ms 3.0.111.82:10574 cached
OK 106ms 185.119.19.105:443 cached
OK 154ms 79.137.205.35:8443 cached
OK 184ms 45.196.201.145:443 cached
OK 188ms 45.196.201.44:443 cached
OK 168ms 45.130.214.192:53231 cached
OK 153ms 159.195.44.159:443 cached
OK 103ms 83.228.251.208:3468 cached
OK 184ms 45.196.201.7:443 cached
OK 189ms 45.196.201.136:443 cached
OK 157ms 85.192.49.169:443 cached
OK 159ms 212.227.102.223:443 cached
OK 251ms fi.buycloud.app:443 cached
OK 147ms 15.188.229.237:22224 cached
OK 154ms 164.92.143.135:34071 cached
OK 184ms 45.196.201.110:443 cached
OK 139ms 185.239.69.147:8443 cached
OK 184ms 45.196.201.74:443 cached
OK 149ms 77.233.214.166:40443 cached
OK 170ms 138.124.244.36:443 cached
OK 185ms 45.196.201.27:443 cached
OK 220ms leading-ram.rooster465.autos:443 cached
OK 226ms 159.65.7.154:443 cached
OK 188ms 45.196.201.18:443 cached
OK 102ms 144.31.213.150:443 cached
OK 5ms 192.169.223.16:2087 cached
OK 184ms 45.196.201.16:443 cached
OK 113ms 176.124.221.208:58500
OK 106ms 2.26.82.219:443 cached
OK 157ms 45.144.53.165:443 cached
OK 5ms 141.11.202.29:443 cached
OK 162ms 146.235.16.191:443 cached
OK 184ms 45.196.201.71:443 cached
OK 156ms 178.83.226.55:443 cached
OK 188ms 45.196.201.112:443 cached
OK 156ms 144.31.219.193:443 cached
OK 183ms 45.196.201.140:443 cached
OK 162ms 3.0.111.82:12972 cached
OK 476ms 103.106.229.190:19261 cached
OK 188ms 45.196.201.20:443 cached
OK 219ms usa1.spectrumproxy.shop:443 cached
OK 188ms 130.17.2.27:2200 cached
OK 172ms 46.29.234.210:443 cached
OK 6ms 45.130.125.114:80
OK 157ms 2.26.50.190:2443 cached
OK 149ms 51.158.206.20:23576 cached
OK 183ms 45.196.201.64:443 cached
OK 151ms 94.156.122.197:443 cached
OK 23ms 47.251.25.74:443 cached
OK 91ms 45.95.233.125:443 cached
OK 155ms 77.221.152.151:443 cached
OK 162ms 8.219.155.125:443 cached
OK 184ms 45.196.201.13:443 cached
OK 101ms 76.164.202.211:448 cached
OK 155ms 38.54.84.46:445 cached
OK 123ms 132.145.89.30:443 cached
OK 187ms 45.196.201.31:443 cached
OK 183ms 31.192.244.42:12683 cached
OK 145ms 51.158.206.98:23576 cached
OK 156ms 85.192.49.165:443 cached
OK 5ms 166.62.107.16:2087 cached
OK 74ms 76.13.29.145:28168 cached
OK 5ms 45.80.111.60:443 cached
OK 164ms 85.192.49.184:443 cached
OK 37ms 59.152.127.76:50863 cached
OK 188ms 45.196.201.144:443 cached
OK 145ms 15.188.229.237:22222 cached
OK 38ms 18.238.109.26:80 cached
OK 5ms 45.130.125.207:80 cached
OK 98ms 193.23.219.2:16055 cached
OK 147ms 51.158.206.97:23576 cached
OK 112ms 62.60.231.42:2053 cached
OK 9ms 15.204.97.198:23576 cached
